ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
91,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20810,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",8,Weight in kilograms,654177,nan,,,654177.0,,2794952.0,,,0
92,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20830,"Meat and edible meat offal; of primates, fresh, chilled or frozen",8,Weight in kilograms,450,nan,,,450.0,,5038.0,,,0
93,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20850,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen",8,Weight in kilograms,4067,nan,,,4067.0,,78555.0,,,0
94,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20860,"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen",8,Weight in kilograms,1324,nan,,,1324.0,,12339.0,,,0
95,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20890,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",8,Weight in kilograms,2494988,nan,,,2494988.0,,13525328.0,,,0
97,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20910,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",8,Weight in kilograms,6814689,nan,,,6814689.0,,6746695.0,,,0
98,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20990,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",8,Weight in kilograms,2968179,nan,,,2968179.0,,2711328.0,,,0
100,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21011,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",8,Weight in kilograms,5523519,nan,,,5523519.0,,20767714.0,,,0
101,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21012,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",8,Weight in kilograms,18878923,nan,,,18878923.0,,70982899.0,,,0
102,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",8,Weight in kilograms,190601443,nan,,,190601443.0,,635034781.0,,,0
103,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21020,"Meat; salted, in brine, dried or smoked, of bovine animals",8,Weight in kilograms,594298,nan,,,594298.0,,6037561.0,,,0
104,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21091,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates",8,Weight in kilograms,6178,nan,,,6178.0,,36310.0,,,0
105,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21092,"Meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea); manatees, dugongs (of order Sirenia); seals, sea lions, and walruses (of suborder Pinnipedia)",8,Weight in kilograms,91621,nan,,,91621.0,,362744.0,,,0
106,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21093,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",8,Weight in kilograms,11472,nan,,,11472.0,,43439.0,,,0
107,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,21099,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",8,Weight in kilograms,37797602,nan,,,37797602.0,,114192564.0,,,0
110,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,30111,"Fish; live, ornamental, freshwater",8,Weight in kilograms,864919,nan,,,864919.0,,17417517.0,,,0
111,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,30119,"Fish; live, ornamental, other than freshwater",8,Weight in kilograms,388250,nan,,,388250.0,,4795211.0,,,0
112,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,30191,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",8,Weight in kilograms,6279,nan,,,6279.0,,30832.0,,,0
113,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,30193,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",8,Weight in kilograms,31904,nan,,,31904.0,,147562.0,,,0
114,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,30194,"Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",8,Weight in kilograms,28852,nan,,,28852.0,,190958.0,,,0
115,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,30199,"Fish; live, n.e.c. in heading 0301",8,Weight in kilograms,15852,nan,,,15852.0,,574231.0,,,0
